Family Guy;Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.;1999-02-01;https://image.tmdb.org/t/p/w300/aLB7psB9N81n5GecHNOudXWW3AI.jpg;I Never Met the Dead Man;While teaching Meg to drive, Peter crashes into the town satellite dish, which knocks out the city's cable. He promises Meg that if she takes the blame, he'll get her a car. Without TV, Peter goes crazy, which drives the family insane. Meanwhile, after refusing to eat the broccoli that Lois gives him, Stewie attempts to build a weather control device that would destroy all vegetables.;2;1;22;1999-04-12;https://image.tmdb.org/t/p/w500/3WjSlrbM1Q3BXOGsqR3DDIkq3Vu.jpg;Peter;Shin;2023-03-13
Family Guy;Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.;1999-02-01;https://image.tmdb.org/t/p/w300/aLB7psB9N81n5GecHNOudXWW3AI.jpg;Chitty Chitty Death Bang;Peter Allows Meg to go to a party with her new friend. This angers Lois because its the same day as Stewie's birthday. What Meg doesn't know is that she's actually attending a cult meeting. Peter comes to pick up Meg, when the Cult Leader follows. Stewie believes him to be the "Man in White", trying to return him to the womb.;3;1;22;1999-04-19;https://image.tmdb.org/t/p/w500/ihUtIMyKzpQ9YHLRtxYpGQI4aAH.jpg;Peter;Shin;2023-03-13
Family Guy;Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.;1999-02-01;https://image.tmdb.org/t/p/w300/aLB7psB9N81n5GecHNOudXWW3AI.jpg;Mind Over Murder;At Chris' soccer game, Peter gets into a fight with a woman, that he thought was a man, and punches her in the face.  After being placed under house arrest, Peter becomes restless and ends up turning the basement into a full bar.  Lois begins singing each night and becomes the main attraction.  Meanwhile, Stewie creates a time machine in order to avoid teething pain, but ends up taking back much more than that.;4;1;22;1999-04-26;https://image.tmdb.org/t/p/w500/cLFy8MpFR8WEHxcttH7BmUyR6jK.jpg;Peter;Shin;2023-03-13
Family Guy;Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.;1999-02-01;https://image.tmdb.org/t/p/w300/aLB7psB9N81n5GecHNOudXWW3AI.jpg;A Hero Sits Next Door;When the Griffin Family gets new neighbors that move in next door, Lois quickly becomes friends with Bonnie, Meg soon becomes attracted to their son, Kevin, and Peter becomes annoyed by the entire situation.  After Peter injures the best player on his company's baseball team, Mr. Weed forces him to find a replacement, so Peter quickly changes his mind about his neighbors and invites Joe to play.  When Joe shows up at the game, Peter learns that he is in a wheelchair.  Joe ends up being the star of the game, which makes Peter jealous, as he wants to be a hero too.  Peter ends up trying to stop a bank robbery to prove his value, but ends up getting caught up in the whole situation.;5;1;22;1999-05-02;https://image.tmdb.org/t/p/w500/4FvzVqpwPRPOghHdtAIvWtQCmos.jpg;Peter;Shin;2023-03-13
Family Guy;Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.;1999-02-01;https://image.tmdb.org/t/p/w300/aLB7psB9N81n5GecHNOudXWW3AI.jpg;The Son Also Draws;Chris loses interest in being a youth scout, as he would rather pursue drawing and art instead. The Scout Master then kicks Chris out of the scouts. Peter then takes the family to the Big Apple to try to get Chris reinstated back into the scouts. After Peter takes a wrong turn on the way, the family ends up at a Native American casino. Lois then gets obsessed with the slot machines while Peter goes on a vision quest to prove that he has Native American blood in him.;6;1;22;1999-05-03;https://image.tmdb.org/t/p/w500/slncrGwLf5oeGq9nwsrGDowluHR.jpg;Peter;Shin;2023-03-13
Family Guy;Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.;1999-02-01;https://image.tmdb.org/t/p/w300/aLB7psB9N81n5GecHNOudXWW3AI.jpg;Brian: Portrait of a Dog;When a heat wave hits Quahog, Peter gets Brian to enter a dog show to win $500 so that the family can get a new air conditioner. When they argue over a trick gone bad, Brian walks out on the family and Peter replaces him with a cat. Brian struggles to assert his civil rights and soon ends up at the pound. Luckily, Peter is able to bail him out by bribing the judge.;7;1;22;1999-05-16;https://image.tmdb.org/t/p/w500/q0yey9OLb5rt4PfgZ7V2wNdzTxV.jpg;Peter;Shin;2023-03-13
Family Guy;Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.;1999-02-01;https://image.tmdb.org/t/p/w300/aLB7psB9N81n5GecHNOudXWW3AI.jpg;Peter, Peter, Caviar Eater;Lois' aunt dies and leaves her mansion to the Griffins.;1;2;22;1999-09-24;https://image.tmdb.org/t/p/w500/5OPaRNydRX2QsJ68IZHk517fHHk.jpg;Peter;Shin;2023-03-13
Family Guy;Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.;1999-02-01;https://image.tmdb.org/t/p/w300/aLB7psB9N81n5GecHNOudXWW3AI.jpg;Holy Crap;Peter's very religious father comes to live with the family after he is forced to retire from his lifelong job at the Mill.;2;2;22;1999-10-01;https://image.tmdb.org/t/p/w500/pVfJX8IzVOdiFrBVRcXEMLy0HAR.jpg;Peter;Shin;2023-03-13
Family Guy;Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.;1999-02-01;https://image.tmdb.org/t/p/w300/aLB7psB9N81n5GecHNOudXWW3AI.jpg;Da Boom;Paranoid about Y2K, Peter herds the family into the basement for protection.;3;2;22;1999-12-27;https://image.tmdb.org/t/p/w500/9iYXCoxbcl1G4EAyALa2eu10hmK.jpg;Peter;Shin;2023-03-13
Family Guy;Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.;1999-02-01;https://image.tmdb.org/t/p/w300/aLB7psB9N81n5GecHNOudXWW3AI.jpg;Brian in Love;A therapist tells Brian his carpet-wetting is the result of his repressed feelings for Lois.;4;2;22;2000-03-08;https://image.tmdb.org/t/p/w500/wp2zj9LQN7b91j5nTWLYrtfWUI8.jpg;Peter;Shin;2023-03-13
